x,y,kappa
89656.8790981,43186.6027708,-0.1011894
89657.8665422,43186.5883308,-0.0855047
89658.8247684,43186.4899352,-0.1973833
89659.7154309,43186.2166789,-0.2753762
89660.4711811,43185.7466637,-0.2474456
89661.229204,43184.9684713,-0.2354613
89661.7533308,43184.0890531,-0.1546783
89662.1225443,43183.1353157,-0.1935043
89662.2793203,43182.1108913,-0.3197347
89662.152886,43181.1680855,-0.0381061
89661.9482869,43180.3158707,-0.3219801
89661.4653534,43179.3900751,-0.1919747
89660.8922266,43178.6936821,-0.1162552
89660.1328189,43177.9646733,-0.1078254
89659.2618755,43177.3067889,-0.1128104
89658.3746878,43176.7875938,-0.0932183
89657.4635836,43176.3656179,-0.0845874
89656.5553625,43176.0347053,-0.0814031
89655.5611342,43175.7525238,-0.0095605
89654.6230999,43175.4948734,0.0896918
89653.7321084,43175.1697864,0.1136211
89652.8632671,43174.7442985,0.066192
89651.9667261,43174.2288975,0.0280924
89651.1116618,43173.7008483,0.0240564
89650.2753779,43173.1558109,0.0340623
89649.4441153,43172.572155,0.0466043
89648.6146967,43171.9272647,0.0634144
89648.02649525998,43171.141428236,0.0953976
89647.42932322799,43170.374640164,0.1695965
89646.95604207201,43169.551080548,0.2641942
89646.608442704,43168.68710513601,0.1293954
89646.54291243541,43167.79763768819,0.0770219
89646.67377265605,43166.90262126822,0.2361766
89646.9959091025,43166.02433627401,0.20745
89647.49731762665,43165.19018597373,0.1326538
89648.105082101,43164.419669386356,0.1111119
89648.66596924455,43163.71309800578,0.1132492
89649.25133988658,43163.07377219909,0.1074151
89649.84877763587,43162.50325495431,0.0978421
89650.40041799338,43161.93252308667,0.0924914
89651.05612611861,43161.494203445065,0.1054151
89651.75410442757,43161.12937321131,0.1163841
89652.48947617917,43160.841944108666,0.1220429
89653.27791724898,43160.718310358716,0.1109038
89654.05746985119,43160.596255223594,0.1021901
89654.84772445397,43160.558676578665,0.0956646
89655.68228251995,43160.57199553624,0.0885051
89656.5540173034,43160.64153539504,0.0964417
89657.45503898876,43160.77257681972,0.1332317
89658.43261800504,43160.91289332457,0.2171916
89659.38731277842,43161.160547067775,0.1561891
89660.26331551485,43161.545482544476,-0.1442698
89661.058730199,43162.060966204546,0.2078905
89661.77496846,43162.699258388,0.1736653
89662.35997868,43163.496174032,0.0368177
89662.93306352,43164.31856432,-0.0198802
89663.46481362001,43165.20525828,-0.0565219
89664.0323999,43166.1817125,-0.029901
89664.5930346,43167.0019009,0.0052911
89665.0892539,43167.743261,-0.0353393
89665.6794771,43168.4285015,-0.3662389
89666.4952164,43168.9325124,-0.0926162
89667.4451813,43169.3860522,-0.0931538
89668.4221917,43169.7321218,-0.2037751
89669.4742702,43169.8836559,-0.1936237
89670.4132016,43169.8535105,0.0546883
89671.3074422,43169.8273288,-0.0901111
89672.297961,43169.7197806,-0.1940234
89673.3137735,43169.4077523,-0.1517912
89674.1945943,43168.9739649,-0.0934203
89675.0761068,43168.4278801,-0.0753583
89675.8933312,43167.8270599,-0.0822099
89676.6900516,43167.1256114,-0.1090826
89677.3522581,43166.3993404,-0.118542
89677.91051,43165.6287274,-0.099977
89678.3883096,43164.8095685,-0.1008965
89678.8016876,43163.9098677,-0.0975283
89679.143492,43162.9174763,-0.0892548
89679.3843854,43161.9386154,-0.0734474
89679.5526585,43160.9313629,-0.0716701
89679.6442848,43159.9387217,-0.0845796
89679.6493579,43158.8963952,-0.0898683
89679.5612343,43157.8712917,-0.0566641
89679.4317894,43156.9525447,0.0064623
89679.2896591,43155.9844853,-0.0473352
89679.1025075,43155.0213256,-0.1206801
89678.8128556,43154.0949256,-0.1223311
89678.4077392,43153.1971108,-0.1224804
89677.8625901,43152.3066752,-0.1352442
89677.2326988,43151.5351436,-0.1276302
89676.5068695,43150.8479136,-0.1216715
89675.6938943,43150.2486462,-0.1223608
89674.7977191,43149.7439294,-0.1058608
89673.8673895,43149.3462587,-0.0954058
89672.9497649,43149.0535979,-0.0962104
89671.9284437,43148.8283816,-0.0590256
89670.9626841,43148.6735232,0.0105013
89670.0377614,43148.5171052,0.0379117
89669.093968,43148.3256582,0.0012147
89668.0586486,43148.1135251,-0.0178921
89667.1407566,43147.9384726,-0.0041621
89666.1452352,43147.7529786,0.004481
89665.1102944,43147.5551767,0.0121296
89664.0866058,43147.34382,0.0353917
89663.0978133,43147.1012648,0.0677091
89662.1765462,43146.8075714,0.1165034
89661.2329204,43146.3810352,0.1339065
89660.3765732,43145.8440534,0.1138637
89659.6510735,43145.2695939,0.0861761
89658.945642,43144.5898161,0.1482989
89658.3267667,43143.799859,0.1269483
89657.8405899,43142.9888644,0.0997825
89657.4104357,43142.077067,0.0985956
89657.0610834,43141.0825683,0.1087472
89656.8334039,43140.1214696,0.0822185
89656.6831268,43139.1312809,0.0589228
89656.5912347,43138.1260265,0.0386167
89656.5400749,43137.1273605,0.0259281
89656.5148293,43136.1282373,0.0132038
89656.5027766,43135.1297233,0.0004572
89656.4912036,43134.1224646,-0.0114012
89656.4681897,43133.1210141,-0.0237866
89656.4219096,43132.1313888,-0.0372891
89656.3358833,43131.1106507,-0.04933
89656.2013599,43130.115631,-0.0648113
89656.0105557,43129.1674233,-0.0860099
